symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,1,2014-09-07,114.00,112.00,112.00,112.00,0.00,"862,250.00","96,572,000.00"
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,2,2014-03-31,114.00,114.00,114.00,114.00,0.00,"10,000.00","1,140,000.00"
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,3,2014-03-27,110.00,114.00,112.00,114.00,0.00,"75,000.00","8,480,000.00"
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,4,2014-03-23,61.00,0.00,0.00,110.00,0.00,"90,000.00","5,400,000.00"
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,5,2014-03-20,110.00,0.00,0.00,110.00,0.00,"166,500.00","10,156,500.00"
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,6,2014-03-06,108.00,110.00,110.00,110.00,0.00,"99,000.00","10,890,000.00"
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,7,2013-12-12,100.00,0.00,0.00,108.00,0.00,"79,000.00","4,740,000.00"
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,8,2012-02-15,128.00,108.00,108.00,108.00,0.00,"67,500.00","7,290,000.00"
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,9,2011-06-12,130.00,128.00,128.00,128.00,0.00,"12,500.00","1,600,000.00"
kistpo,KIST Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/kistpo,10,2011-05-24,306.00,130.00,130.00,130.00,0.00,"21,000.00","2,730,000.00"
