symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,143,2025-03-27,661.00,670.00,651.70,666.00,1.33,"8,888.00","5,912,567.30"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,144,2025-03-26,650.00,662.90,640.20,657.27,1.99,"8,881.00","5,804,434.00"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,145,2025-03-25,665.00,665.00,642.00,644.42,-2.21,"6,758.00","4,383,924.30"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,146,2025-03-24,651.00,660.00,642.00,659.00,1.20,"7,087.00","4,627,973.90"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,147,2025-03-23,659.00,668.00,650.00,651.18,-2.04,"13,936.00","9,191,724.90"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,148,2025-03-20,661.20,670.00,661.20,664.72,0.24,"10,872.00","7,242,458.80"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,149,2025-03-19,668.00,675.00,663.00,663.10,-1.35,"5,365.00","3,577,840.70"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,150,2025-03-18,662.00,688.10,662.00,672.20,-0.47,"3,901.00","2,631,764.50"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,151,2025-03-17,663.00,676.30,662.20,675.40,1.56,"13,237.00","8,879,216.00"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,152,2025-03-16,665.00,672.00,664.30,665.00,-0.81,"10,727.00","7,145,846.80"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,153,2025-03-12,675.00,680.00,670.40,670.40,-0.68,"9,993.00","6,744,336.00"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,154,2025-03-11,680.50,690.00,675.00,675.00,-1.46,"9,252.00","6,270,401.50"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,155,2025-03-10,686.20,689.00,680.10,685.00,0.00,"5,764.00","3,941,640.60"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,156,2025-03-09,696.00,696.00,683.00,685.00,-1.59,"10,623.00","7,298,934.80"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,157,2025-03-06,694.10,704.00,694.10,696.10,-1.12,"10,004.00","6,984,038.80"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,158,2025-03-05,711.00,711.00,691.00,704.00,0.72,"9,965.00","6,972,021.30"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,159,2025-03-04,727.20,727.20,699.00,699.00,-1.96,"15,033.00","10,596,420.00"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,160,2025-03-03,720.00,727.00,711.00,713.00,0.28,"26,734.00","19,251,327.00"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,161,2025-03-02,709.00,721.90,701.50,711.00,2.29,"13,549.00","9,597,681.20"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,162,2025-02-27,698.80,740.00,693.50,695.10,1.46,"11,574.00","8,094,517.80"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,163,2025-02-25,683.10,710.90,683.00,685.10,0.01,"12,368.00","8,548,893.70"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,164,2025-02-24,700.00,705.00,685.00,685.00,-1.01,"12,838.00","8,870,523.40"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,165,2025-02-23,685.10,699.90,673.00,692.00,-1.00,"16,776.00","11,610,475.50"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,166,2025-02-20,700.00,703.00,695.10,699.00,-0.43,"11,679.00","8,162,603.50"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,167,2025-02-18,712.00,720.00,700.00,702.00,-1.40,"17,598.00","12,489,389.70"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,168,2025-02-17,718.90,725.00,710.00,712.00,0.85,"22,959.00","16,516,643.10"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,169,2025-02-16,693.00,715.00,683.10,706.00,3.14,"25,650.00","17,966,625.30"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,170,2025-02-13,684.20,697.80,683.00,684.50,-0.36,"10,713.00","7,348,123.10"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,171,2025-02-12,690.30,701.00,685.00,687.00,-0.43,"9,479.00","6,528,285.70"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,172,2025-02-11,701.00,701.00,680.10,690.00,0.00,"14,578.00","9,995,996.60"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,173,2025-02-10,700.00,704.00,686.00,690.00,-1.13,"11,923.00","8,278,199.60"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,174,2025-02-09,700.00,705.00,691.00,697.90,-1.72,"21,032.00","14,659,311.20"
nmlbbl,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/nmlbbl,175,2025-02-06,718.50,722.00,707.00,710.10,-1.10,"11,522.00","8,196,142.60"
