symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,1,2025-06-23,321.00,321.00,321.00,321.00,0.00,"5,000.00","1,605,000.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,2,2024-03-14,202.00,202.00,202.00,202.00,0.00,"56,000.00","11,312,000.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,3,2023-12-05,150.00,150.00,150.00,150.00,0.00,"40,113.00","6,016,950.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,4,2023-02-27,181.00,181.00,181.00,181.00,0.00,"10,000.00","1,810,000.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,5,2022-06-16,130.40,130.40,130.40,130.40,-1.95,"73,450.00","9,577,880.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,6,2022-06-15,133.00,133.00,133.00,133.00,0.00,"5,650.00","751,450.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,7,2021-03-07,118.00,118.00,118.00,118.00,0.00,200.00,"23,600.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,8,2021-03-01,118.00,118.00,118.00,118.00,0.00,"1,500.00","177,000.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,9,2021-02-25,118.00,118.00,118.00,118.00,0.00,"1,400.00","165,200.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,10,2019-06-13,118.00,118.00,118.00,118.00,-26.25,"8,000.00","944,000.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,11,2018-01-01,160.00,160.00,160.00,160.00,0.00,"4,000.00","640,000.00"
mpflpo,Multipurpose Finance Company Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/mpflpo,12,2017-12-26,160.00,160.00,160.00,160.00,0.00,"9,000.00","1,440,000.00"
