symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,30,2015-01-12,"6,125.00","6,125.00","6,122.00","6,125.00",0.00,183.00,"1,120,725.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,31,2015-01-11,"6,050.00","6,125.00","6,100.00","6,125.00",0.00,98.00,"599,425.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,32,2015-01-08,"6,050.00","6,050.00","5,951.00","6,050.00",0.00,134.00,"809,181.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,33,2015-01-07,"6,100.00","6,140.00","6,050.00","6,050.00",0.00,606.00,"3,678,870.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,34,2015-01-06,"6,000.00","6,100.00","6,000.00","6,100.00",0.00,116.00,"702,550.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,35,2015-01-05,"6,090.00","6,000.00","6,000.00","6,000.00",0.00,176.00,"1,056,000.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,36,2015-01-04,"5,800.00","6,090.00","5,916.00","6,090.00",0.00,776.00,"4,679,275.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,37,2015-01-01,"5,716.00","5,800.00","5,750.00","5,800.00",0.00,109.00,"629,950.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,38,2014-12-31,"5,197.00","5,716.00","5,300.00","5,716.00",0.00,250.00,"1,397,907.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,39,2014-12-29,"5,200.00","5,197.00","5,096.00","5,197.00",0.00,27.00,"138,905.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,40,2014-12-28,"4,950.00","5,250.00","5,049.00","5,200.00",0.00,247.00,"1,279,868.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,41,2014-12-24,"4,750.00","4,950.00","4,825.00","4,950.00",0.00,83.00,"408,594.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,42,2014-12-23,"4,794.00","4,795.00","4,750.00","4,750.00",0.00,29.00,"138,605.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,43,2014-12-15,"4,700.00","4,794.00","4,794.00","4,794.00",0.00,18.00,"86,292.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,44,2014-12-03,"4,650.00","4,700.00","4,700.00","4,700.00",0.00,84.00,"394,800.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,45,2014-12-02,"4,655.00","4,700.00","4,650.00","4,650.00",0.00,111.00,"519,375.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,46,2014-12-01,"4,750.00","4,755.00","4,655.00","4,655.00",0.00,287.00,"1,359,715.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,47,2014-11-30,"4,939.00","4,842.00","4,750.00","4,750.00",0.00,102.00,"487,250.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,48,2014-11-25,"4,920.00","4,939.00","4,939.00","4,939.00",0.00,100.00,"493,900.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,49,2014-11-23,"4,790.00","5,020.00","4,850.00","4,920.00",0.00,132.00,"652,750.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,50,2014-11-20,"4,600.00","4,790.00","4,692.00","4,790.00",0.00,103.00,"488,220.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,51,2014-11-18,"4,851.00","4,755.00","4,600.00","4,600.00",0.00,114.00,"532,290.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,52,2014-11-16,"4,950.00","4,851.00","4,851.00","4,851.00",0.00,20.00,"97,020.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,53,2014-11-13,"4,896.00","5,000.00","4,950.00","4,950.00",0.00,85.00,"422,325.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,54,2014-11-12,"5,111.00","5,213.00","4,896.00","4,896.00",0.00,150.00,"758,120.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,55,2014-11-11,"4,647.00","5,111.00","4,739.00","5,111.00",0.00,375.00,"1,842,108.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,56,2014-11-09,"4,556.00","4,647.00","4,556.00","4,647.00",0.00,226.00,"1,030,930.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,57,2014-11-06,"4,380.00","4,556.00","4,467.00","4,556.00",0.00,55.00,"248,355.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,58,2014-11-04,"4,700.00","4,650.00","4,380.00","4,380.00",0.00,531.00,"2,407,231.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,59,2014-11-02,"4,700.00","4,700.00","4,700.00","4,700.00",0.00,42.00,"197,400.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,60,2014-10-30,"4,750.00","4,700.00","4,700.00","4,700.00",0.00,45.00,"211,500.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,61,2014-10-19,"4,800.00","4,750.00","4,750.00","4,750.00",0.00,19.00,"90,250.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,62,2014-10-16,"4,825.00","4,800.00","4,800.00","4,800.00",0.00,126.00,"604,800.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,63,2014-10-15,"4,800.00","4,825.00","4,825.00","4,825.00",0.00,111.00,"535,575.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,64,2014-09-18,"4,849.00","4,800.00","4,753.00","4,800.00",0.00,30.00,"143,389.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,65,2014-09-16,"4,896.00","4,849.00","4,849.00","4,849.00",0.00,13.00,"63,037.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,66,2014-09-03,"5,096.00","4,995.00","4,896.00","4,896.00",0.00,32.00,"157,959.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,67,2014-09-01,"5,200.00","5,096.00","5,096.00","5,096.00",0.00,25.00,"127,400.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,68,2014-08-18,"5,200.00","5,200.00","5,200.00","5,200.00",0.00,50.00,"260,000.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,69,2014-08-14,"5,202.00","5,200.00","5,200.00","5,200.00",0.00,50.00,"260,000.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,70,2014-08-06,"5,096.00","5,202.00","5,100.00","5,202.00",0.00,45.00,"233,070.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,71,2014-08-05,"5,200.00","5,096.00","5,096.00","5,096.00",0.00,113.00,"575,848.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,72,2014-08-04,"5,484.00","5,375.00","5,100.00","5,200.00",0.00,68.00,"354,450.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,73,2014-07-24,"5,377.00","5,484.00","5,484.00","5,484.00",0.00,20.00,"109,680.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,74,2014-07-22,"5,710.00","5,597.00","5,377.00","5,377.00",0.00,369.00,"2,010,195.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,75,2014-07-20,"5,750.00","5,710.00","5,710.00","5,710.00",0.00,160.00,"913,600.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,76,2014-07-17,"5,865.00","5,750.00","5,750.00","5,750.00",0.00,30.00,"172,500.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,77,2014-07-16,"5,750.00","5,865.00","5,860.00","5,865.00",0.00,125.00,"733,075.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,78,2014-07-14,"5,800.00","5,751.00","5,750.00","5,750.00",0.00,330.00,"1,897,602.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,79,2014-07-09,"5,800.00","5,800.00","5,800.00","5,800.00",0.00,22.00,"127,600.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,80,2014-07-08,"5,850.00","5,800.00","5,800.00","5,800.00",0.00,48.00,"278,400.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,81,2014-07-07,"5,770.00","5,850.00","5,850.00","5,850.00",0.00,133.00,"778,050.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,82,2014-07-06,"5,755.00","5,770.00","5,750.00","5,770.00",0.00,166.00,"957,020.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,83,2014-07-03,"5,850.00","5,755.00","5,755.00","5,755.00",0.00,38.00,"218,690.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,84,2014-07-02,"5,700.00","5,850.00","5,800.00","5,850.00",0.00,458.00,"2,663,550.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,85,2014-07-01,"5,648.00","5,700.00","5,602.00","5,700.00",0.00,170.00,"963,120.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,86,2014-06-30,"5,430.00","5,648.00","5,440.00","5,648.00",0.00,128.00,"713,700.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,87,2014-06-29,"5,400.00","5,430.00","5,420.00","5,430.00",0.00,92.00,"498,960.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,88,2014-06-25,"5,355.00","5,400.00","5,400.00","5,400.00",0.00,200.00,"1,080,000.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,89,2014-06-24,"5,250.00","5,355.00","5,355.00","5,355.00",0.00,10.00,"53,550.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,90,2014-06-19,"5,322.00","5,250.00","5,250.00","5,250.00",0.00,228.00,"1,197,000.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,91,2014-06-18,"5,430.00","5,322.00","5,322.00","5,322.00",0.00,20.00,"106,440.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,92,2014-06-17,"5,401.00","5,430.00","5,399.00","5,430.00",0.00,357.00,"1,933,636.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,93,2014-06-16,"5,580.00","5,470.00","5,401.00","5,401.00",0.00,63.00,"341,850.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,94,2014-06-15,"5,440.00","5,580.00","5,540.00","5,580.00",0.00,32.00,"178,160.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,95,2014-06-11,"5,550.00","5,440.00","5,440.00","5,440.00",0.00,56.00,"304,640.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,96,2014-06-10,"5,500.00","5,610.00","5,500.00","5,550.00",0.00,639.00,"3,541,510.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,97,2014-06-09,"5,151.00","5,500.00","5,200.00","5,500.00",0.00,335.00,"1,805,968.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,98,2014-06-08,"5,050.00","5,151.00","5,151.00","5,151.00",0.00,115.00,"592,365.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,99,2014-06-05,"5,015.00","5,050.00","5,050.00","5,050.00",0.00,12.00,"60,600.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,100,2014-06-03,"5,015.00","5,015.00","5,000.00","5,015.00",0.00,118.00,"591,560.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,101,2014-06-02,"5,000.00","5,015.00","5,000.00","5,015.00",0.00,245.00,"1,225,570.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,102,2014-06-01,"5,100.00","5,100.00","5,000.00","5,000.00",0.00,426.00,"2,144,300.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,103,2014-05-28,"5,200.00","5,200.00","5,100.00","5,100.00",0.00,102.00,"528,600.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,104,2014-05-27,"5,100.00","5,200.00","5,200.00","5,200.00",0.00,53.00,"275,600.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,105,2014-05-26,"5,151.00","5,100.00","5,050.00","5,100.00",0.00,57.00,"289,600.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,106,2014-05-22,"5,050.00","5,151.00","5,150.00","5,151.00",0.00,33.00,"169,963.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,107,2014-05-20,"5,100.00","5,101.00","5,050.00","5,050.00",0.00,175.00,"887,550.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,108,2014-05-19,"5,600.00","5,500.00","5,047.00","5,100.00",0.00,523.00,"2,749,938.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,109,2014-05-15,"5,773.00","5,695.00","5,600.00","5,600.00",0.00,130.00,"730,850.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,110,2014-05-12,"5,773.00","5,773.00","5,660.00","5,773.00",0.00,114.00,"647,500.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,111,2014-05-11,"6,020.00","6,020.00","5,773.00","5,773.00",0.00,604.00,"3,512,476.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,112,2014-05-08,"5,765.00","6,050.00","5,810.00","6,020.00",0.00,412.00,"2,456,354.00"
rjbcl,Rastriya Jeewan Beema Company Limited (former Rastriya Beema Sansthan),Life Insurance,https://www.sharesansar.com/company/rjbcl,113,2014-05-07,"5,765.00","5,765.00","5,765.00","5,765.00",0.00,146.00,"841,690.00"
