symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,1,2025-11-19,408.10,412.00,404.80,407.70,-1.28,"10,424.00","4,251,312.00"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,2,2025-11-18,412.00,417.80,410.30,413.00,-0.24,"7,080.00","2,924,912.00"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,3,2025-11-17,417.00,420.00,409.00,414.00,-0.72,"13,749.00","5,700,772.50"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,4,2025-11-16,408.00,425.70,408.00,417.00,1.71,"24,321.00","10,142,862.60"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,5,2025-11-13,394.00,410.00,394.00,410.00,2.50,"14,495.00","5,871,671.50"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,6,2025-11-12,402.10,404.00,396.50,400.00,-0.50,"12,171.00","4,863,437.70"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,7,2025-11-11,382.40,408.00,382.40,402.00,3.61,"13,856.00","5,557,225.30"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,8,2025-11-10,395.00,395.00,383.00,388.00,-0.51,"7,655.00","2,950,907.00"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,9,2025-11-09,391.20,392.50,385.10,390.00,-2.26,"4,971.00","1,936,504.60"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,10,2025-11-06,398.00,402.00,392.00,399.00,0.23,"8,952.00","3,548,865.50"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,11,2025-11-05,390.10,400.90,390.10,398.10,0.81,"1,383.00","549,630.10"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,12,2025-11-04,394.60,400.00,390.30,394.90,-1.91,"6,786.00","2,679,152.00"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,13,2025-11-03,402.00,410.00,400.00,402.60,-1.54,"5,604.00","2,266,327.00"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,14,2025-11-02,395.00,414.00,394.00,408.90,2.23,"10,203.00","4,144,242.60"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,15,2025-10-30,391.10,402.00,390.70,400.00,0.25,"6,948.00","2,767,800.50"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,16,2025-10-29,395.10,410.00,390.10,399.00,1.01,"8,351.00","3,314,759.80"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,17,2025-10-28,381.20,402.00,381.20,395.00,1.57,"6,221.00","2,450,884.50"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,18,2025-10-26,379.20,402.00,377.00,388.90,0.52,"5,160.00","1,965,876.00"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,19,2025-10-19,376.00,390.50,375.10,386.90,1.04,"2,137.00","818,241.30"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,20,2025-10-16,383.00,389.90,372.40,382.90,-0.03,"5,834.00","2,210,237.10"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,21,2025-10-15,407.00,407.00,375.00,383.00,-5.87,"12,075.00","4,691,717.20"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,22,2025-10-14,403.80,411.00,395.80,406.90,-1.24,"8,326.00","3,318,434.00"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,23,2025-10-13,400.00,412.40,398.00,412.00,2.23,"5,801.00","2,338,345.90"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,24,2025-10-12,404.00,410.00,394.00,403.00,-2.18,"14,218.00","5,681,728.80"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,25,2025-10-09,406.70,448.00,406.70,412.00,-0.70,"10,846.00","4,524,981.90"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,26,2025-10-08,423.00,429.90,409.90,414.90,-3.74,"9,655.00","4,009,768.10"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,27,2025-10-07,440.10,440.10,421.00,431.00,-4.01,"8,720.00","3,741,021.50"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,28,2025-09-28,442.50,451.90,437.10,449.00,0.00,"4,357.00","1,925,740.40"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,29,2025-09-25,434.00,455.00,434.00,449.00,1.81,"13,644.00","6,105,438.70"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,30,2025-09-24,429.50,441.00,429.50,441.00,0.68,"4,470.00","1,958,334.00"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,31,2025-09-23,425.00,440.00,418.50,438.00,3.04,"10,292.00","4,439,482.20"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,32,2025-09-21,383.00,428.40,382.20,425.09,9.00,"11,003.00","4,538,560.50"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,33,2025-09-18,403.00,403.00,390.00,390.00,-4.96,320.00,"126,830.00"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,34,2025-09-08,415.10,437.90,405.00,410.35,-1.38,"12,004.00","4,995,256.20"
mehl,Manakamana Engineering Hydropower Limited,Hydropower,https://www.sharesansar.com/company/mehl,35,2025-09-07,415.70,422.00,415.70,416.09,-1.14,"7,158.00","2,998,283.50"
